TYPE	CODE	DESC
RX	00574082001	TESTOSTERONE CYPIONATE
DX	S01351S	OPEN BITE OF RIGHT EAR, SEQUELA
RX	00363058714	ASPIRIN EC
PR	COBBB	nan
RX	04928106237	nan
DX	R699	nan
DX	S71042A	PUNCTURE WOUND WITH FOREIGN BODY, LEFT HIP, INITIAL ENCOUNTER
RX	10631009362	KENALOG
PR	BQ13ZZZ	FLUOROSCOPY OF RIGHT FEMUR
DX	W54	CONTACT WITH DOG
PR	28636	PERCUTANEOUS SKELETAL FIXATION OF METATARSOPHALANGEAL JOINT DISLOCATION, WITH MANIPULATION
RX	00781932895	CEFTRIAXONE
DX	T445X5A	ADVERSE EFFECT OF PREDOMINANTLY BETA-ADRENORECEPTOR AGONISTS, INITIAL ENCOUNTER
DX	E7410	DISORDER OF FRUCTOSE METABOLISM, UNSPECIFIED
PR	0WH83YZ	INSERTION OF OTHER DEVICE INTO CHEST WALL, PERCUTANEOUS APPROACH
DX	S142XXA	INJURY OF NERVE ROOT OF CERVICAL SPINE, INITIAL ENCOUNTER
PR	0SG34A1	FUSION OF LUMBOSACRAL JOINT WITH INTERBODY FUSION DEVICE, POSTERIOR APPROACH, POSTERIOR COLUMN, PERCUTANEOUS ENDOSCOPIC APPROACH
PR	0X9C0ZX	DRAINAGE OF LEFT ELBOW REGION, OPEN APPROACH, DIAGNOSTIC
PR	04PY0DZ	REMOVAL OF INTRALUMINAL DEVICE FROM LOWER ARTERY, OPEN APPROACH
PR	58292	VAGINAL HYSTERECTOMY, FOR UTERUS GREATER THAN 250 G; WITH REMOVAL OF TUBE(S) AND/OR OVARY(S), WITH REPAIR OF ENTEROCELE
RX	47781030403	RIVASTIGMINE
PR	B31B1ZZ	FLUOROSCOPY OF LEFT EXTERNAL CAROTID ARTERY USING LOW OSMOLAR CONTRAST
DX	S65002D	UNSPECIFIED INJURY OF ULNAR ARTERY AT WRIST AND HAND LEVEL OF LEFT ARM, SUBSEQUENT ENCOUNTER
RX	58914083008	SCANDICAL
DX	37513	PRIMARY LACRIMAL ATROPHY
DX	1473	MALIGNANT NEOPLASM OF ANTERIOR WALL OF NASOPHARYNX
DX	S27809A	UNSPECIFIED INJURY OF DIAPHRAGM, INITIAL ENCOUNTER
DX	S78119A	COMPLETE TRAUMATIC AMPUTATION AT LEVEL BETWEEN UNSPECIFIED HIP AND KNEE, INITIAL ENCOUNTER
RX	58468466301	CEREZYME
RX	55292091151	MUSTARGEN
DX	M89127	PARTIAL PHYSEAL ARREST, RIGHT DISTAL HUMERUS
DX	S92013D	DISPLACED FRACTURE OF BODY OF UNSPECIFIED CALCANEUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
DX	J4591	nan
DX	V4999	nan
PR	0DWD8UZ	REVISION OF FEEDING DEVICE IN LOWER INTESTINAL TRACT, VIA NATURAL OR ARTIFICIAL OPENING ENDOSCOPIC
DX	S7225XB	NONDISPLACED SUBTROCHANTERIC FRACTURE OF LEFT FEMUR, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE I OR II
DX	75567	CONGENITAL ANOMALIES OF FOOT, NOT ELSEWHERE CLASSIFIED
DX	T385X1D	POISONING BY OTHER ESTROGENS AND PROGESTOGENS, ACCIDENTAL (UNINTENTIONAL), SUBSEQUENT ENCOUNTER
PR	50920	CLOSURE OF URETEROCUTANEOUS FISTULA
DX	H401122	PRIMARY OPEN-ANGLE GLAUCOMA, LEFT EYE, MODERATE STAGE
PR	HZ50ZZZ	INDIVIDUAL PSYCHOTHERAPY FOR SUBSTANCE ABUSE TREATMENT, COGNITIVE
DX	M86132	OTHER ACUTE OSTEOMYELITIS, LEFT RADIUS AND ULNA
PR	0DP63MZ	REMOVAL OF STIMULATOR LEAD FROM STOMACH, PERCUTANEOUS APPROACH
DX	I6200	NONTRAUMATIC SUBDURAL HEMORRHAGE, UNSPECIFIED
DX	M62139	OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), UNSPECIFIED FOREARM
DX	S40922D	UNSPECIFIED SUPERFICIAL INJURY OF LEFT UPPER ARM, SUBSEQUENT ENCOUNTER
PR	74327	POSTOPERATIVE BILIARY DUCT CALCULUS REMOVAL, PERCUTANEOUS VIA T-TUBE TRACT, BASKET, OR SNARE (EG, BURHENNE TECHNIQUE), RADIOLOGICAL SUPERVISION AND INTERPRETATION
DX	T24091A	BURN OF UNSPECIFIED DEGREE OF MULTIPLE SITES OF RIGHT LOWER LIMB, EXCEPT ANKLE AND FOOT, INITIAL ENCOUNTER
RX	52343002299	SIMVASTATIN
DX	H05823	MYOPATHY OF EXTRAOCULAR MUSCLES, BILATERAL
DX	T454X6D	UNDERDOSING OF IRON AND ITS COMPOUNDS, SUBSEQUENT ENCOUNTER
PR	8020	ARTHROSCOPY, UNSPECIFIED SITE
RX	40800000389	nan
DX	H93231	HYPERACUSIS, RIGHT EAR
DX	V021	CARRIER OR SUSPECTED CARRIER OF TYPHOID
PR	0QS646Z	REPOSITION RIGHT UPPER FEMUR WITH INTRAMEDULLARY INTERNAL FIXATION DEVICE, PERCUTANEOUS ENDOSCOPIC APPROACH
RX	25021012867	CEFTAZIDIME
RX	66993066405	DULOXETINE HCL
DX	S62032P	DISPLACED FRACTURE OF PROXIMAL THIRD OF NAVICULAR [SCAPHOID] BONE OF LEFT WRIST, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION
PR	7631	PARTIAL MANDIBULECTOMY
DX	J9311	PRIMARY SPONTANEOUS PNEUMOTHORAX
RX	68462010810	TOPIRAMATE
RX	00093171201	WARFARIN SODIUM
RX	04923151425	nan
RX	00456430008	MONUROL
RX	68001020708	LISINOPRIL
DX	S86392A	OTHER INJURY OF MUSCLE(S) AND TENDON(S) OF PERONEAL MUSCLE GROUP AT LOWER LEG LEVEL, LEFT LEG, INITIAL ENCOUNTER
RX	72058061080	THICK-IT #2
PR	21.69	nan
PR	1CFMS	nan
DX	Q7291	UNSPECIFIED REDUCTION DEFECT OF RIGHT LOWER LIMB
PR	34.6	nan
RX	00338051914	INTRALIPID
DX	O322XX3	MATERNAL CARE FOR TRANSVERSE AND OBLIQUE LIE, FETUS 3
PR	06HN3DZ	INSERTION OF INTRALUMINAL DEVICE INTO LEFT FEMORAL VEIN, PERCUTANEOUS APPROACH
PR	0D8R0ZZ	DIVISION OF ANAL SPHINCTER, OPEN APPROACH
PR	81.95	nan
DX	S82131D	DISPLACED FRACTURE OF MEDIAL CONDYLE OF RIGHT TIBIA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
PR	047K041	DILATION OF RIGHT FEMORAL ARTERY WITH DRUG-ELUTING INTRALUMINAL DEVICE, USING DRUG-COATED BALLOON, OPEN APPROACH
DX	J9584	TRANSFUSION-RELATED ACUTE LUNG INJURY (TRALI)
RX	00338004933	nan
PR	02.43	nan
RX	68645051790	CYCLOBENZAPRINE HCL
RX	00172731146	CYCLOSPORINE MODIFIED
DX	M96841	POSTPROCEDURAL HEMATOMA OF A MUSCULOSKELETAL STRUCTURE FOLLOWING OTHER PROCEDURE
DX	H9903	nan
DX	73075	OSTEOPATHY RESULTING FROM POLIOMYELITIS, PELVIC REGION AND THIGH
DX	S92236K	NONDISPLACED FRACTURE OF INTERMEDIATE CUNEIFORM OF UNSPECIFIED FOOT, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
DX	75530	CONGENITAL UNSPECIFIED REDUCTION DEFORMITY OF LOWER LIMB
DX	T8484	PAIN DUE TO INTERNAL ORTHOPEDIC PROSTHETIC DEVICES, IMPLANTS AND GRAFTS
DX	S85492A	OTHER SPECIFIED INJURY OF LESSER SAPHENOUS VEIN AT LOWER LEG LEVEL, LEFT LEG, INITIAL ENCOUNTER
DX	S60811D	ABRASION OF RIGHT WRIST, SUBSEQUENT ENCOUNTER
RX	00703031811	nan
PR	4AFM2	nan
PR	31526	LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; DIAGNOSTIC, WITH OPERATING MICROSCOPE OR TELESCOPE
DX	S31834A	PUNCTURE WOUND WITH FOREIGN BODY OF ANUS, INITIAL ENCOUNTER
PR	03.51	nan
DX	H60551	ACUTE REACTIVE OTITIS EXTERNA, RIGHT EAR
DX	S70929A	UNSPECIFIED SUPERFICIAL INJURY OF UNSPECIFIED THIGH, INITIAL ENCOUNTER
DX	V630	RESIDENCE REMOTE FROM HOSPITAL OR OTHER HEALTH CARE FACILITY
PR	35.52	nan
PR	D1710	nan
RX	39822402501	MAGNESIUM SULFATE
PR	30233Y1	TRANSFUSION OF NONAUTOLOGOUS HEMATOPOIETIC STEM CELLS INTO PERIPHERAL VEIN, PERCUTANEOUS APPROACH
PR	15272	APPLICATION OF SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA UP TO 100 SQ CM; EACH ADDITIONAL 25 SQ CM WOUND SURFACE AREA, OR PART THEREOF (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)
PR	G6004	RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS: 6-10 MEV
RX	59672453701	nan
RX	00574022001	LIOTHYRONINE SODIUM
RX	66521011811	FLUVIRIN 2015-2016
PR	0QU00KZ	SUPPLEMENT LUMBAR VERTEBRA WITH NONAUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
DX	S31511D	LACERATION WITHOUT FOREIGN BODY OF UNSPECIFIED EXTERNAL GENITAL ORGANS, MALE, SUBSEQUENT ENCOUNTER
PR	E1093	WIDE HEAVY-DUTY WHEELCHAIR, DETACHABLE ARMS, DESK OR FULL-LENGTH ARMS, SWING-AWAY DETACHABLE FOOTRESTS
DX	6235	LEUKORRHEA, NOT SPECIFIED AS INFECTIVE
RX	00603154358	POTASSIUM CHLORIDE
PR	079200Z	DRAINAGE OF LEFT NECK LYMPHATIC WITH DRAINAGE DEVICE, OPEN APPROACH
DX	528	DISEASES OF THE ORAL SOFT TISSUES, EXCLUDING LESIONS SPECIFIC FOR GINGIVA AND TONGUE
DX	72867	nan
DX	M60059	INFECTIVE MYOSITIS, UNSPECIFIED THIGH
PR	23182	PARTIAL EXCISION (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECTOMY) BONE (EG, OSTEOMYELITIS), SCAPULA
DX	IMO0001	nan
RX	13533063503	GAMASTAN S-D
DX	D2330	OTHER BENIGN NEOPLASM OF SKIN OF UNSPECIFIED PART OF FACE
DX	O358	MATERNAL CARE FOR OTHER (SUSPECTED) FETAL ABNORMALITY AND DAMAGE
DX	M11122	FAMILIAL CHONDROCALCINOSIS, LEFT ELBOW
DX	FR1311	nan
RX	50114070041	nan
DX	S22012A	UNSTABLE BURST FRACTURE OF FIRST THORACIC VERTEBRA, INITIAL ENCOUNTER FOR CLOSED FRACTURE
RX	58160081046	INFANRIX PF
PR	99076	nan
DX	S96121A	LACERATION OF MUSCLE AND TENDON OF LONG EXTENSOR MUSCLE OF TOE AT ANKLE AND FOOT LEVEL, RIGHT FOOT, INITIAL ENCOUNTER
RX	06797951143	nan
PR	0PPL04Z	REMOVAL OF INTERNAL FIXATION DEVICE FROM LEFT ULNA, OPEN APPROACH
PR	96920	LASER TREATMENT FOR INFLAMMATORY SKIN DISEASE (PSORIASIS); TOTAL AREA LESS THAN 250 SQ CM
RX	06332310161	nan
DX	M71372	OTHER BURSAL CYST, LEFT ANKLE AND FOOT
DX	W138XXA	FALL FROM, OUT OF OR THROUGH OTHER BUILDING OR STRUCTURE, INITIAL ENCOUNTER
DX	O72829	nan
DX	S92812P	OTHER FRACTURE OF LEFT FOOT, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION
DX	S91155A	OPEN BITE OF LEFT LESSER TOE(S) WITHOUT DAMAGE TO NAIL, INITIAL ENCOUNTER
DX	S72412F	DISPLACED UNSPECIFIED CONDYLE FRACTURE OF LOWER END OF LEFT FEMUR, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC WITH ROUTINE HEALING
RX	00407141361	OMNIPAQUE
PR	E0247	TRANSFER BENCH FOR TUB OR TOILET WITH OR WITHOUT COMMODE OPENING
PR	0YH70YZ	INSERTION OF OTHER DEVICE INTO RIGHT FEMORAL REGION, OPEN APPROACH
DX	S36502A	UNSPECIFIED INJURY OF DESCENDING [LEFT] COLON, INITIAL ENCOUNTER
DX	T23022D	BURN OF UNSPECIFIED DEGREE OF SINGLE LEFT FINGER (NAIL) EXCEPT THUMB, SUBSEQUENT ENCOUNTER
DX	S60415A	ABRASION OF LEFT RING FINGER, INITIAL ENCOUNTER
PR	96155	HEALTH AND BEHAVIOR INTERVENTION, EACH 15 MINUTES, FACE-TO-FACE; FAMILY (WITHOUT THE PATIENT PRESENT)
PR	037L3GZ	DILATION OF LEFT INTERNAL CAROTID ARTERY WITH FOUR OR MORE INTRALUMINAL DEVICES, PERCUTANEOUS APPROACH
DX	O99354	DISEASES OF THE NERVOUS SYSTEM COMPLICATING CHILDBIRTH
PR	0PUQ07Z	SUPPLEMENT LEFT METACARPAL WITH AUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
DX	D2112	BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF LEFT UPPER LIMB, INCLUDING SHOULDER
PR	05BD3ZZ	EXCISION OF RIGHT CEPHALIC VEIN, PERCUTANEOUS APPROACH
RX	00008025901	MEPERIDINE HCL
DX	B356	TINEA CRURIS
RX	09040791559	nan
DX	S06323D	CONTUSION AND LACERATION OF LEFT CEREBRUM WITH LOSS OF CONSCIOUSNESS OF 1 HOUR TO 5 HOURS 59 MINUTES, SUBSEQUENT ENCOUNTER
PR	0BD68ZX	EXTRACTION OF RIGHT LOWER LOBE BRONCHUS, VIA NATURAL OR ARTIFICIAL OPENING ENDOSCOPIC, DIAGNOSTIC
PR	44188	LAPAROSCOPY, SURGICAL, COLOSTOMY OR SKIN LEVEL CECOSTOMY
PR	0QSH0	nan
DX	H3343	TRACTION DETACHMENT OF RETINA, BILATERAL
DX	H61313	ACQUIRED STENOSIS OF EXTERNAL EAR CANAL SECONDARY TO TRAUMA, BILATERAL
DX	S06820D	INJURY OF LEFT INTERNAL CAROTID ARTERY, INTRACRANIAL PORTION, NOT ELSEWHERE CLASSIFIED WITHOUT LOSS OF CONSCIOUSNESS, SUBSEQUENT ENCOUNTER
RX	57664037713	TRAMADOL HCL
PR	02HV03Z	INSERTION OF INFUSION DEVICE INTO SUPERIOR VENA CAVA, OPEN APPROACH
PR	S0145	INJECTION, PEGYLATED INTERFERON ALFA-2A, 180 MCG PER ML
DX	N90811	FEMALE GENITAL MUTILATION TYPE I STATUS
RX	38779088705	NALTREXONE HCL
RX	43386062230	MY WAY
PR	0018	INFUSION OF IMMUNOSUPPRESSIVE ANTIBODY THERAPY
RX	00407069015	OMNISCAN
PR	G8590	MOST RECENT DIASTOLIC BLOOD PRESSURE <90 MM HG
PR	21270	MALAR AUGMENTATION, PROSTHETIC MATERIAL
DX	D89813	GRAFT-VERSUS-HOST DISEASE, UNSPECIFIED
PR	27090	REMOVAL OF HIP PROSTHESIS; (SEPARATE PROCEDURE)
PR	8592	INJECTION OF THERAPEUTIC AGENT INTO BREAST
PR	6998	OTHER OPERATIONS ON SUPPORTING STRUCTURES OF UTERUS
RX	01430958525	nan
RX	49348022937	IBUPROFEN
DX	S40029A	CONTUSION OF UNSPECIFIED UPPER ARM, INITIAL ENCOUNTER
DX	S6701XS	CRUSHING INJURY OF RIGHT THUMB, SEQUELA
RX	54868101501	NASALIDE
DX	S63630D	SPRAIN OF INTERPHALANGEAL JOINT OF RIGHT INDEX FINGER, SUBSEQUENT ENCOUNTER
PR	0RU30KZ	SUPPLEMENT CERVICAL VERTEBRAL DISC WITH NONAUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
RX	00781933046	CEFTRIAXONE
RX	51991062033	ANASTROZOLE
RX	17478001202	BENZTROPINE MESYLATE
PR	0UBC4ZZ	EXCISION OF CERVIX, PERCUTANEOUS ENDOSCOPIC APPROACH
DX	63301	ABDOMINAL PREGNANCY WITH INTRAUTERINE PREGNANCY
DX	E9370	BARBITURATES CAUSING ADVERSE EFFECT IN THERAPEUTIC USE
PR	0RHJ08Z	INSERTION OF SPACER INTO RIGHT SHOULDER JOINT, OPEN APPROACH
RX	00472073556	ANTIFUNGAL CREAM
RX	00409788313	GENTAMICIN SULFATE IN NS
DX	31183	nan
PR	RVA15	nan
PR	D2931	PREFABRICATED STAINLESS STEEL CROWN - PERMANENT TOOTH
PR	0XQ20ZZ	REPAIR RIGHT SHOULDER REGION, OPEN APPROACH
RX	49781040010	nan
RX	00006484700	nan
DX	S72001E	FRACTURE OF UNSPECIFIED PART OF NECK OF RIGHT FEMUR, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH ROUTINE HEALING
DX	S9331	SUBLUXATION AND DISLOCATION OF TARSAL JOINT
RX	66018903021	nan
DX	S8390AX	nan
PR	0CX30ZZ	TRANSFER SOFT PALATE, OPEN APPROACH
PR	36906	PERCUTANEOUS TRANSLUMINAL MECHANICAL THROMBECTOMY AND/OR INFUSION FOR THROMBOLYSIS, DIALYSIS CIRCUIT, ANY METHOD, INCLUDING ALL IMAGING AND RADIOLOGICAL SUPERVISION AND INTERPRETATION, DIAGNOSTIC ANGIOGRAPHY, FLUOROSCOPIC GUIDANCE, CATHETER PLACEMENT(S), AND INTRAPROCEDURAL PHARMACOLOGICAL THROMBOLYTIC INJECTION(S); WITH TRANSCATHETER PLACEMENT OF INTRAVASCULAR STENT(S), PERIPHERAL DIALYSIS SEGMENT, INCLUDING ALL IMAGING AND RADIOLOGICAL SUPERVISION AND INTERPRETATION NECESSARY TO PERFORM THE STENTING, AND ALL ANGIOPLASTY WITHIN THE PERIPHERAL DIALYSIS CIRCUIT
DX	M87872	OTHER OSTEONECROSIS, LEFT ANKLE
DX	37808	ALTERNATING ESOTROPIA WITH OTHER NONCOMITANCIES
DX	M71322	OTHER BURSAL CYST, LEFT ELBOW
DX	78979	nan
DX	S73025D	OBTURATOR DISLOCATION OF LEFT HIP, SUBSEQUENT ENCOUNTER
PR	27395	LENGTHENING OF HAMSTRING TENDON; MULTIPLE TENDONS, BILATERAL
DX	T520X1S	TOXIC EFFECT OF PETROLEUM PRODUCTS, ACCIDENTAL (UNINTENTIONAL), SEQUELA
PR	0S9C00Z	DRAINAGE OF RIGHT KNEE JOINT WITH DRAINAGE DEVICE, OPEN APPROACH
RX	00090085100	nan
RX	00409202554	DOBUTAMINE HCL
PR	0FC00ZZ	EXTIRPATION OF MATTER FROM LIVER, OPEN APPROACH
RX	00517570425	FUROSEMIDE
PR	RUX10	nan
DX	R89	ABNORMAL FINDINGS IN SPECIMENS FROM OTHER ORGANS, SYSTEMS AND TISSUES
DX	O418X99	OTHER SPECIFIED DISORDERS OF AMNIOTIC FLUID AND MEMBRANES, UNSPECIFIED TRIMESTER, OTHER FETUS
PR	0KQQ0ZZ	REPAIR RIGHT UPPER LEG MUSCLE, OPEN APPROACH
RX	64253020230	SODIUM CHLORIDE
DX	V1041	PERSONAL HISTORY OF MALIGNANT NEOPLASM OF CERVIX UTERI
DX	S62350A	NONDISPLACED FRACTURE OF SHAFT OF SECOND METACARPAL BONE, RIGHT HAND, INITIAL ENCOUNTER FOR CLOSED FRACTURE
RX	49291038415	nan
RX	68180046701	LOVASTATIN
DX	M84750K	ATYPICAL FEMORAL FRACTURE, UNSPECIFIED, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
